,source_node,source_name,target_node,target_name,hetesim_score
0,C0001962,ethanol,C0002395,Alzheimer's Disease,0.09201522203595057
1,C0597357,receptor,C0002395,Alzheimer's Disease,0.09036405115379861
2,C0021641,Insulin,C0002395,Alzheimer's Disease,0.09018700973530594
3,C1448177|7124,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.08880380278952422
4,C0079189,cytokine,C0002395,Alzheimer's Disease,0.08610213992099945
5,C0002520,Amino Acids,C0002395,Alzheimer's Disease,0.08409790301511276
6,C0021753,"interleukin-1, beta",C0002395,Alzheimer's Disease,0.0838076876205544
7,C0003241,Antibodies,C0002395,Alzheimer's Disease,0.08370075898277371
8,C0021665,Insulin-Like Growth Factor I,C0002395,Alzheimer's Disease,0.08034184582860242
9,C0021760,interleukin-6,C0002395,Alzheimer's Disease,0.08012050648547557
10,C0220839,glutamate,C0002395,Alzheimer's Disease,0.07830200034094893
11,C0669365|4846,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.07696933081156895
12,C0021641|3630,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.07585960686428289
13,C0038838,superoxide dismutase,C0002395,Alzheimer's Disease,0.07452895513762614
14,C0003595|348,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.07256449948496468
15,C1366832|51761,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.07145922720251348
16,C0003765,arginine,C0002395,Alzheimer's Disease,0.07115226617753904
17,C0002716,Amyloid,C0002395,Alzheimer's Disease,0.07110878869372222
18,C0009325,collagen,C0002395,Alzheimer's Disease,0.06924604898911738
19,C0299583|3952,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.06886534226855055
20,C0006560,C-reactive protein,C0002395,Alzheimer's Disease,0.06784491478663393
21,C0107103,brain-derived neurotrophic factor,C0002395,Alzheimer's Disease,0.06716495783180385
22,C0003009,angiotensin II,C0002395,Alzheimer's Disease,0.06716338339322343
23,C0031727,Phosphotransferases,C0002395,Alzheimer's Disease,0.06622912053348469
24,C0017817,glutathione,C0002395,Alzheimer's Disease,0.06572880089465218
25,C0003242,"Antibodies, Anti-Idiotypic",C0002395,Alzheimer's Disease,0.06550650942630715
26,C0023820,Lipoproteins,C0002395,Alzheimer's Disease,0.0654016470836899
27,C0010592,cyclosporine,C0002395,Alzheimer's Disease,0.06525700792176584
28,C0669372|4843,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.06516697983549219
29,C1171892|7422,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.06502657811037274
30,C0011847,Diabetes,C0002395,Alzheimer's Disease,0.0642078010342068
31,C0019046,Hemoglobin,C0002395,Alzheimer's Disease,0.06377381726708628
32,C0019878,homocysteine,C0002395,Alzheimer's Disease,0.06197707197228464
33,C0030567,Parkinson Disease,C0002395,Alzheimer's Disease,0.06195899256958483
34,C0007367,catalase,C0002395,Alzheimer's Disease,0.06138357358201004
35,C0002059,Alkaline Phosphatase,C0002395,Alzheimer's Disease,0.060092567253989815
36,C0037663,Growth Hormone,C0002395,Alzheimer's Disease,0.059693397784319584
37,C0030016,Oxidoreductase,C0002395,Alzheimer's Disease,0.05967195821754774
38,C0017890,glycine,C0002395,Alzheimer's Disease,0.0596292712940699
39,C0360714,Hydroxymethylglutaryl-CoA Reductase Inhibitors,C0002395,Alzheimer's Disease,0.059427202791134864
40,C0028754,Obesity,C0002395,Alzheimer's Disease,0.05939215681495031
41,C1456820|7124,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.05895366486551991
42,C0020538,Hypertensive disease,C0002395,Alzheimer's Disease,0.05859445048403009
43,C0010654,cysteine,C0002395,Alzheimer's Disease,0.058498731746565495
44,C1366490|156,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.05849794555091276
45,C0080222|7040,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.05819638756693928
46,C0040648,TRANSCRIPTION FACTOR,C0002395,Alzheimer's Disease,0.05816681761405326
47,C0023570,levodopa,C0002395,Alzheimer's Disease,0.057860444095796555
48,C0038454,Cerebrovascular accident,C0002395,Alzheimer's Disease,0.05780837587878164
49,C0389071,Adiponectin,C0002395,Alzheimer's Disease,0.057801039429320404
50,C0004153,Atherosclerosis,C0002395,Alzheimer's Disease,0.057597853190487124
51,C0033634,Protein Kinase C,C0002395,Alzheimer's Disease,0.0571048600635956
52,C0026549,morphine,C0002395,Alzheimer's Disease,0.05660989978979461
53,C0014822|2056,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.05557704317291242
54,C0376261,lactate,C0002395,Alzheimer's Disease,0.05553098680277047
55,C0132555,Nitric Oxide Synthase,C0002395,Alzheimer's Disease,0.05548550445301192
56,C0027754|4803,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.055260892595000874
57,C0021758,interleukin-4,C0002395,Alzheimer's Disease,0.05521560949692654
58,C0033640,Protein Kinases,C0002395,Alzheimer's Disease,0.054740264226923144
59,C0007222,Cardiovascular Diseases,C0002395,Alzheimer's Disease,0.054615185446675006
60,C0023821,High Density Lipoproteins,C0002395,Alzheimer's Disease,0.05385011089134143
61,C0021311,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.0537539920149421
62,C0025598,metformin,C0002395,Alzheimer's Disease,0.05365718695015809
63,C0030095,oxytocin,C0002395,Alzheimer's Disease,0.05361399557722528
64,C0038585,Substance P,C0002395,Alzheimer's Disease,0.053395884191243456
65,C0085295,interleukin-10,C0002395,Alzheimer's Disease,0.05325498556694446
66,C0911014,ghrelin,C0002395,Alzheimer's Disease,0.05305517854909687
67,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",C0002395,Alzheimer's Disease,0.05296022811105527
68,C0021747,Interferons,C0002395,Alzheimer's Disease,0.05287620799549166
69,C0001924,Albumins,C0002395,Alzheimer's Disease,0.05278159695964985
70,C0001044,acetylcholinesterase,C0002395,Alzheimer's Disease,0.052605407484831584
71,C0027893|4852,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.05220825412728619
72,C0034783,Adrenergic Receptor,C0002395,Alzheimer's Disease,0.05202234667971358
73,C0034392,quercetin,C0002395,Alzheimer's Disease,0.051709464607332646
74,C0024337,lysine,C0002395,Alzheimer's Disease,0.05168538200808406
75,C0242275|1950,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.05167344802242239
76,C0042839,vitamin A,C0002395,Alzheimer's Disease,0.05112547152910966
77,C0039350,taurine,C0002395,Alzheimer's Disease,0.05096441912117496
78,C0079633,interleukin-8,C0002395,Alzheimer's Disease,0.05088714521612448
79,C1305923,Polypeptides,C0002395,Alzheimer's Disease,0.050668256238335714
80,C0034804,Estrogen Receptors,C0002395,Alzheimer's Disease,0.0505956534048417
81,C0003779,argipressin,C0002395,Alzheimer's Disease,0.05054259678297944
82,C0017968,Glycoproteins,C0002395,Alzheimer's Disease,0.050345990626342256
83,C0733470|3439,NAME_NOT_FOUND,C0002395,Alzheimer's Disease,0.050334578921906035
84,C0079281,Endothelin-1,C0002395,Alzheimer's Disease,0.05029470514681874
85,C0042890,Vitamins,C0002395,Alzheimer's Disease,0.04993519164250806
86,C0348035,oxidized low density lipoprotein,C0002395,Alzheimer's Disease,0.04984079844269883
87,C0010132,corticotropin-releasing hormone,C0002395,Alzheimer's Disease,0.04975663464042417
