,sn,sn_name,sn_type,targets
0,C0001962,ethanol,ORCH,"{'C0002395': 0.09201522203595057, 'C0020676': 0.09418821731398488, 'C0025519': 0.11007713203935965}"
1,C0597357,receptor,AAPP,"{'C0002395': 0.09036405115379861, 'C0020676': 0.0813180778339978, 'C0025519': 0.10967099297844508}"
2,C0021641,Insulin,AAPP,"{'C0002395': 0.09018700973530594, 'C0020676': 0.07521512063247539, 'C0025519': 0.10545999120512921}"
3,C1448177|7124,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.08880380278952422, 'C0020676': 0.07364832713453669, 'C0025519': 0.10457491709489461}"
4,C0079189,cytokine,AAPP,"{'C0002395': 0.08610213992099945, 'C0020676': 0.07340114071226757, 'C0025519': 0.10129138531318495}"
5,C0002520,Amino Acids,AAPP,"{'C0002395': 0.08409790301511276, 'C0020676': 0.07235834611686627, 'C0025519': 0.09960082756800472}"
6,C0021753,"interleukin-1, beta",AAPP,"{'C0002395': 0.0838076876205544, 'C0020676': 0.07187012479291922, 'C0025519': 0.09945377336471954}"
7,C0003241,Antibodies,AAPP,"{'C0002395': 0.08370075898277371, 'C0020676': 0.07060186887497392, 'C0025519': 0.09580879157218525}"
8,C0021665,Insulin-Like Growth Factor I,AAPP,"{'C0002395': 0.08034184582860242, 'C0020676': 0.07000298420904723, 'C0025519': 0.09337821169395594}"
9,C0021760,interleukin-6,AAPP,"{'C0002395': 0.08012050648547557, 'C0020676': 0.06969023864724462, 'C0025519': 0.09168234718191796}"
10,C0220839,glutamate,AAPP,"{'C0002395': 0.07830200034094893, 'C0020676': 0.0692523163767085, 'C0025519': 0.0914082490916002}"
11,C0669365|4846,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.07696933081156895, 'C0020676': 0.06905585372075151, 'C0025519': 0.09120007818415193}"
12,C0021641|3630,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.07585960686428289, 'C0020676': 0.06799835443370246, 'C0025519': 0.08997479543298818}"
13,C0038838,superoxide dismutase,AAPP,"{'C0002395': 0.07452895513762614, 'C0020676': 0.0666530960286302, 'C0025519': 0.0878043178650992}"
14,C0003595|348,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.07256449948496468, 'C0020676': 0.06590773601350237, 'C0025519': 0.0875764779250798}"
15,C1366832|51761,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.07145922720251348, 'C0020676': 0.06582023101977216, 'C0025519': 0.08533620061704593}"
16,C0003765,arginine,AAPP,"{'C0002395': 0.07115226617753904, 'C0020676': 0.06370711823934529, 'C0025519': 0.08177565272616988}"
17,C0002716,Amyloid,AAPP,"{'C0002395': 0.07110878869372222, 'C0020676': 0.06363281599559042, 'C0025519': 0.08129556066221054}"
18,C0009325,collagen,AAPP,"{'C0002395': 0.06924604898911738, 'C0020676': 0.06325628396489143, 'C0025519': 0.0801841954490642}"
19,C0299583|3952,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.06886534226855055, 'C0020676': 0.06230045817686902, 'C0025519': 0.07964413741342163}"
20,C0006560,C-reactive protein,AAPP,"{'C0002395': 0.06784491478663393, 'C0020676': 0.06222360519824632, 'C0025519': 0.07880000745914631}"
21,C0107103,brain-derived neurotrophic factor,AAPP,"{'C0002395': 0.06716495783180385, 'C0020676': 0.06124385540343166, 'C0025519': 0.0780155138929234}"
22,C0003009,angiotensin II,AAPP,"{'C0002395': 0.06716338339322343, 'C0020676': 0.06021276818192487, 'C0025519': 0.07636085399968225}"
23,C0031727,Phosphotransferases,AAPP,"{'C0002395': 0.06622912053348469, 'C0020676': 0.05951719043768075, 'C0025519': 0.07613119690881749}"
24,C0017817,glutathione,AAPP,"{'C0002395': 0.06572880089465218, 'C0020676': 0.058066188705820705, 'C0025519': 0.07529058047767782}"
25,C0003242,"Antibodies, Anti-Idiotypic",AAPP,"{'C0002395': 0.06550650942630715, 'C0020676': 0.05796701655604937, 'C0025519': 0.07453089806242069}"
26,C0023820,Lipoproteins,AAPP,"{'C0002395': 0.0654016470836899, 'C0020676': 0.05754417905470005, 'C0025519': 0.07407603981474443}"
27,C0010592,cyclosporine,AAPP,"{'C0002395': 0.06525700792176584, 'C0020676': 0.057496746146009435, 'C0025519': 0.07378216448215588}"
28,C0669372|4843,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.06516697983549219, 'C0020676': 0.05679151113944977, 'C0025519': 0.0732675317613102}"
29,C1171892|7422,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.06502657811037274, 'C0020676': 0.0564270480330922, 'C0025519': 0.07297486799415423}"
30,C0011847,Diabetes,DSYN,"{'C0002395': 0.0642078010342068, 'C0020676': 0.05572361998110475, 'C0025519': 0.0728460864298905}"
31,C0019046,Hemoglobin,AAPP,"{'C0002395': 0.06377381726708628, 'C0020676': 0.055580299772653524, 'C0025519': 0.07167295867513963}"
32,C0019878,homocysteine,AAPP,"{'C0002395': 0.06197707197228464, 'C0020676': 0.05540971193103193, 'C0025519': 0.07162477198485519}"
33,C0030567,Parkinson Disease,DSYN,"{'C0002395': 0.06195899256958483, 'C0020676': 0.05514129090614021, 'C0025519': 0.06970695254573349}"
34,C0007367,catalase,AAPP,"{'C0002395': 0.06138357358201004, 'C0020676': 0.0549238250108899, 'C0025519': 0.06935653752804107}"
35,C0002059,Alkaline Phosphatase,AAPP,"{'C0002395': 0.060092567253989815, 'C0020676': 0.05485033125635485, 'C0025519': 0.06902583810506369}"
36,C0037663,Growth Hormone,AAPP,"{'C0002395': 0.059693397784319584, 'C0020676': 0.054778886450008, 'C0025519': 0.06891740463632981}"
37,C0030016,Oxidoreductase,AAPP,"{'C0002395': 0.05967195821754774, 'C0020676': 0.05442514283828488, 'C0025519': 0.0685512080672776}"
38,C0017890,glycine,AAPP,"{'C0002395': 0.0596292712940699, 'C0020676': 0.05386152697487424, 'C0025519': 0.06764715130115742}"
39,C0360714,Hydroxymethylglutaryl-CoA Reductase Inhibitors,ORCH,"{'C0002395': 0.059427202791134864, 'C0020676': 0.05380525727620513, 'C0025519': 0.06733666004916172}"
40,C0028754,Obesity,DSYN,"{'C0002395': 0.05939215681495031, 'C0020676': 0.053509672103669734, 'C0025519': 0.06679998003635358}"
41,C1456820|7124,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.05895366486551991, 'C0020676': 0.05340470389606414, 'C0025519': 0.06668831405287665}"
42,C0020538,Hypertensive disease,DSYN,"{'C0002395': 0.05859445048403009, 'C0020676': 0.053314842556939045, 'C0025519': 0.06649719528271696}"
43,C0010654,cysteine,AAPP,"{'C0002395': 0.058498731746565495, 'C0020676': 0.05310340304283885, 'C0025519': 0.06610051796131344}"
44,C1366490|156,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.05849794555091276, 'C0020676': 0.05295455489398739, 'C0025519': 0.06581500323407621}"
45,C0080222|7040,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.05819638756693928, 'C0020676': 0.05293299642559953, 'C0025519': 0.06527557129606917}"
46,C0040648,TRANSCRIPTION FACTOR,AAPP,"{'C0002395': 0.05816681761405326, 'C0020676': 0.05287522159027434, 'C0025519': 0.06500707016566941}"
